distance,duration,gender,age_group
0.0,0.0,M,35 - 54
110.14,492.05,M,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,M,18 - 34
72.21000000000001,363.75,M,35 - 54
16.089,84.43333333333334,M,35 - 54
8.04,39.23333333333333,M,18 - 34
39.56,171.0,M,18 - 34
0.0,0.0,M,18 - 34
12.7,103.63333333333333,F,35 - 54
67.16,374.25,M,35 - 54
0.0,0.0,M,35 - 54
7.09,41.93333333333334,M,18 - 34
84.64,381.45,M,18 - 34
8.99,51.1,F,18 - 34
0.0,0.0,M,18 - 34
6.95,31.933333333333334,M,18 - 34
0.0,0.0,M,35 - 54
56.38,271.4833333333333,M,18 - 34
0.0,0.0,M,18 - 34
72.889,452.75,M,35 - 54
18.23,80.96666666666667,M,18 - 34
57.14,377.5,F,55 +
73.79,309.35,M,35 - 54
108.96,574.7666666666667,M,35 - 54
59.1,315.0,M,18 - 34
5.62,31.116666666666667,M,35 - 54
42.43,232.36666666666667,M,35 - 54
85.36,394.6166666666667,M,35 - 54
19.8,126.75,F,18 - 34
0.0,0.0,M,18 - 34
58.91,295.1,M,55 +
99.33,538.35,M,35 - 54
35.0,161.01666666666665,M,35 - 54
30.79,159.18333333333334,M,18 - 34
33.92,162.33333333333331,M,35 - 54
125.79,506.2166666666667,M,18 - 34
0.0,0.0,M,35 - 54
45.13,248.15,M,18 - 34
36.41,267.9166666666667,F,35 - 54
33.36,180.9333333333333,F,35 - 54
19.15,152.1,M,35 - 54
49.42,233.56666666666663,M,35 - 54
16.12,89.85,M,18 - 34
51.29,339.2,F,55 +
67.06,286.4833333333333,M,35 - 54
25.05,131.23333333333335,F,35 - 54
120.93,585.4,M,35 - 54
34.84,202.91666666666663,F,35 - 54
22.32,127.0,M,35 - 54
14.81,79.96666666666667,M,35 - 54
5.15,30.566666666666663,F,35 - 54
14.91,93.55,F,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,M,18 - 34
35.230000000000004,173.05,M,35 - 54
5.5,27.766666666666666,M,35 - 54
44.93,245.78333333333333,F,35 - 54
30.1,145.1,M,18 - 34
71.53999999999999,398.0,M,35 - 54
47.04,228.61666666666667,M,55 +
26.0,145.68333333333334,M,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,F,18 - 34
40.43,255.35,M,35 - 54
73.59,319.1333333333333,M,18 - 34
5.07,31.28333333333333,F,18 - 34
10.66,55.88333333333333,M,35 - 54
4.92,26.516666666666666,M,55 +
32.56,141.78333333333333,M,35 - 54
28.01,229.15,M,55 +
15.079999999999998,92.2,M,35 - 54
99.27,596.0333333333333,M,35 - 54
83.65,446.83333333333337,M,18 - 34
10.57,50.883333333333326,M,18 - 34
0.0,0.0,M,35 - 54
45.3,301.4166666666667,F,35 - 54
35.650000000000006,181.51666666666668,M,35 - 54
0.0,0.0,F,35 - 54
87.4,415.73333333333335,F,35 - 54
80.07,346.01666666666665,M,35 - 54
37.11,170.88333333333333,M,35 - 54
0.0,0.0,M,18 - 34
106.94,680.6166666666667,M,35 - 54
35.77,193.4333333333333,M,35 - 54
0.0,0.0,M,18 - 34
63.93,312.65,M,35 - 54
11.28,57.96666666666667,M,18 - 34
54.68,287.0,M,35 - 54
65.21,317.18333333333334,M,18 - 34
13.13,79.0,M,35 - 54
0.0,0.0,M,35 - 54
22.93,131.23333333333335,F,35 - 54
20.22,99.48333333333332,M,18 - 34
27.49,147.06666666666666,M,35 - 54
19.09,101.6,M,35 - 54
27.07,124.3,M,35 - 54
18.56,106.65,M,18 - 34
18.28,121.18333333333334,F,18 - 34
0.0,0.0,M,35 - 54
18.42,107.18333333333334,M,35 - 54
0.0,0.0,M,35 - 54
28.96,140.0,M,18 - 34
0.0,0.0,M,35 - 54
0.0,0.0,F,35 - 54
37.29,192.25,F,35 - 54
71.52,376.1333333333333,F,35 - 54
0.0,0.0,M,35 - 54
40.31,276.9,M,35 - 54
50.56999999999999,275.9166666666667,M,35 - 54
75.59,401.1333333333333,M,35 - 54
8.49,46.6,M,18 - 34
9.71,64.76666666666667,M,18 - 34
36.92,235.11666666666667,M,35 - 54
10.67,59.95,M,18 - 34
86.10000000000001,470.15,M,35 - 54
52.3,292.43333333333334,M,35 - 54
0.0,0.0,M,18 - 34
0.0,0.0,F,18 - 34
13.43,61.45,M,18 - 34
45.73,205.5,M,35 - 54
0.0,0.0,M,35 - 54
28.75,143.45,M,35 - 54
10.04,54.016666666666666,M,18 - 34
4.98,30.166666666666668,F,18 - 34
0.0,0.0,M,55 +
30.49,168.31666666666666,F,18 - 34
0.0,0.0,M,18 - 34
23.51,118.73333333333332,M,35 - 54
0.0,0.0,M,18 - 34
0.0,0.0,F,35 - 54
32.370000000000005,185.56666666666663,M,35 - 54
5.79,30.183333333333334,M,35 - 54
53.14,316.51666666666665,F,18 - 34
52.34,266.75,M,35 - 54
36.379,210.91666666666663,F,35 - 54
57.2,284.8666666666667,M,18 - 34
87.06,492.0,F,35 - 54
6.28,31.133333333333333,M,18 - 34
9.72,54.3,M,35 - 54
39.74,262.96666666666664,F,35 - 54
0.0,0.0,M,35 - 54
2.12,15.15,M,55 +
30.58,147.5,M,35 - 54
0.0,0.0,M,18 - 34
25.2,116.91666666666666,M,35 - 54
23.55,110.93333333333334,M,35 - 54
4.61,34.28333333333333,F,18 - 34
25.15,116.9,M,18 - 34
27.67,189.0,M,35 - 54
197.369,798.7666666666667,M,35 - 54
0.0,0.0,M,18 - 34
38.16,203.13333333333333,M,18 - 34
0.0,0.0,M,35 - 54
38.620000000000005,222.75,M,18 - 34
0.0,0.0,M,18 - 34
49.9,255.03333333333333,M,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,F,18 - 34
0.0,0.0,M,18 - 34
0.0,0.0,M,35 - 54
22.88,159.75,M,35 - 54
28.75,169.3,M,18 - 34
9.51,60.28333333333333,F,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,M,35 - 54
27.08,152.75,M,55 +
0.0,0.0,M,35 - 54
15.84,91.76666666666668,F,35 - 54
18.52,120.83333333333334,M,55 +
50.5,254.36666666666667,F,18 - 34
121.45,737.0,M,55 +
74.55,353.8,M,35 - 54
25.719,132.65,M,35 - 54
26.68,140.93333333333334,M,35 - 54
18.0,77.80000000000001,M,35 - 54
25.76,128.6,M,35 - 54
0.0,0.0,M,18 - 34
0.0,0.0,M,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,M,35 - 54
26.82,139.6,F,18 - 34
21.22,138.01666666666665,M,18 - 34
36.36,210.56666666666663,F,18 - 34
15.34,85.78333333333333,M,35 - 54
25.55,112.98333333333332,M,35 - 54
50.8,257.4166666666667,M,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,M,35 - 54
29.380000000000003,160.0,M,18 - 34
22.18,108.55,M,35 - 54
0.0,0.0,M,35 - 54
15.75,95.96666666666668,M,18 - 34
36.0,193.4833333333333,M,35 - 54
17.21,129.0,M,35 - 54
6.48,41.016666666666666,F,35 - 54
60.91,357.2333333333333,M,18 - 34
38.78,234.11666666666667,M,18 - 34
1.88,19.58333333333333,M,35 - 54
7.36,41.05,M,35 - 54
0.0,0.0,M,18 - 34
7.17,56.73333333333333,M,35 - 54
34.58,178.8,M,35 - 54
0.0,0.0,M,35 - 54
58.79,291.0,M,35 - 54
36.95,236.9,F,18 - 34
62.61,373.25,M,35 - 54
112.18,567.3,M,35 - 54
58.35,274.6,M,35 - 54
47.47,279.3,F,18 - 34
6.68,42.23333333333333,F,18 - 34
0.0,0.0,F,35 - 54
17.37,82.85,M,35 - 54
53.54,265.25,F,35 - 54
13.039,76.11666666666667,M,35 - 54
74.358,380.45,M,18 - 34
38.34,189.86666666666667,F,35 - 54
36.76,200.31666666666663,M,18 - 34
10.17,53.95,M,55 +
7.38,49.516666666666666,M,35 - 54
0.0,0.0,M,35 - 54
79.53,404.5833333333333,M,35 - 54
43.72,264.06666666666666,M,35 - 54
70.03999999999999,412.2166666666667,F,35 - 54
24.95,130.1,M,35 - 54
1.11,60.0,M,35 - 54
0.0,0.0,F,18 - 34
29.31,170.11666666666667,M,18 - 34
10.57,67.76666666666667,M,18 - 34
0.0,0.0,F,55 +
23.48,113.85,M,18 - 34
23.71,137.96666666666667,F,55 +
5.04,28.016666666666666,M,35 - 54
0.0,0.0,M,18 - 34
5.03,46.21666666666667,M,35 - 54
4.64,26.03333333333333,M,18 - 34
161.54000000000002,903.15,M,35 - 54
15.29,83.48333333333333,M,18 - 34
97.67,496.95,F,18 - 34
78.73,410.76666666666665,F,18 - 34
16.21,99.98333333333332,M,35 - 54
11.41,72.6,F,35 - 54
36.97,172.25,F,18 - 34
0.0,0.0,F,35 - 54
48.18,236.2333333333333,M,18 - 34
29.24,152.76666666666665,F,18 - 34
0.0,0.0,M,35 - 54
7.69,54.9,M,35 - 54
6.42,60.0,F,35 - 54
6.29,36.18333333333333,M,35 - 54
0.0,0.0,M,35 - 54
16.7,91.65,M,18 - 34
0.0,0.0,M,35 - 54
67.64,221.0833333333333,M,35 - 54
0.0,0.0,M,18 - 34
0.0,0.0,F,18 - 34
23.12,120.61666666666667,M,35 - 54
24.93,145.43333333333334,M,35 - 54
21.8,101.65,M,35 - 54
42.74,255.6,M,18 - 34
74.37,416.31666666666666,M,35 - 54
38.74,209.06666666666663,F,18 - 34
109.98,525.8,M,18 - 34
